pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
175.523085,-46.9156,-90.0,top,J1,,,PinHeader_1x08_P2.54mm_Vertical,TOP,tht
90.433085,-46.9156,90.0,top,J2,,,PinHeader_1x05_P2.54mm_Vertical,BOT,tht
252.993085,-46.9156,-90.0,top,J3,,,PinHeader_1x02_P2.54mm_Vertical,2PIN,tht
31.913085,-60.8756,0.0,top,KA1,,,SW_Gateron_LowProfile_THT,BREAK,tht
203.363085,-60.8756,0.0,top,KA10,,,SW_Gateron_LowProfile_THT,8,tht
222.413085,-60.8756,0.0,top,KA11,,,SW_Gateron_LowProfile_THT,9,tht
241.463085,-60.8756,0.0,top,KA12,,,SW_Gateron_LowProfile_THT,ZERO,tht
262.894385,-60.8756,0.0,top,KA13,,,SW_Gateron_LowProfile_THT,DELETE,tht
50.963085,-60.8756,0.0,top,KA2,,,SW_Gateron_LowProfile_THT,EDIT,tht
70.013085,-60.8756,0.0,top,KA3,,,SW_Gateron_LowProfile_THT,1,tht
89.063085,-60.8756,0.0,top,KA4,,,SW_Gateron_LowProfile_THT,2,tht
108.113085,-60.8756,0.0,top,KA5,,,SW_Gateron_LowProfile_THT,3,tht
127.163085,-60.8756,0.0,top,KA6,,,SW_Gateron_LowProfile_THT,4,tht
146.213085,-60.8756,0.0,top,KA7,,,SW_Gateron_LowProfile_THT,5,tht
165.263085,-60.8756,0.0,top,KA8,,,SW_Gateron_LowProfile_THT,6,tht
184.313085,-60.8756,0.0,top,KA9,,,SW_Gateron_LowProfile_THT,7,tht
34.294385,-79.9256,0.0,top,KB1,,,SW_Gateron_LowProfile_THT,TRUE VIDEO,tht
212.888085,-79.9256,0.0,top,KB10,,,SW_Gateron_LowProfile_THT,I,tht
231.938085,-79.9256,0.0,top,KB11,,,SW_Gateron_LowProfile_THT,O,tht
250.988085,-79.9256,0.0,top,KB12,,,SW_Gateron_LowProfile_THT,P,tht
260.692827,-99.27802,0.0,top,KB13,,,SW_Gateron_LowProfile_THT,ENTER,tht
58.106885,-79.9256,0.0,top,KB2,,,SW_Gateron_LowProfile_THT,INV VIDEO,tht
79.538085,-79.9256,0.0,top,KB3,,,SW_Gateron_LowProfile_THT,Q,tht
98.588085,-79.9256,0.0,top,KB4,,,SW_Gateron_LowProfile_THT,W,tht
117.638085,-79.9256,0.0,top,KB5,,,SW_Gateron_LowProfile_THT,E,tht
136.688085,-79.9256,0.0,top,KB6,,,SW_Gateron_LowProfile_THT,R,tht
155.738085,-79.9256,0.0,top,KB7,,,SW_Gateron_LowProfile_THT,T,tht
174.788085,-79.9256,0.0,top,KB8,,,SW_Gateron_LowProfile_THT,Y,tht
193.838085,-79.9256,0.0,top,KB9,,,SW_Gateron_LowProfile_THT,U,tht
36.675685,-98.9756,0.0,top,KC1,,,SW_Gateron_LowProfile_THT,CAPS LOCK,tht
217.650685,-98.9756,0.0,top,KC10,,,SW_Gateron_LowProfile_THT,K,tht
236.700685,-98.9756,0.0,top,KC11,,,SW_Gateron_LowProfile_THT,L,tht
62.869485,-98.9756,0.0,top,KC2,,,SW_Gateron_LowProfile_THT,GRAPH,tht
84.300685,-98.9756,0.0,top,KC3,,,SW_Gateron_LowProfile_THT,A,tht
103.350685,-98.9756,0.0,top,KC4,,,SW_Gateron_LowProfile_THT,S,tht
122.400685,-98.9756,0.0,top,KC5,,,SW_Gateron_LowProfile_THT,D,tht
141.450685,-98.9756,0.0,top,KC6,,,SW_Gateron_LowProfile_THT,F,tht
160.500685,-98.9756,0.0,top,KC7,,,SW_Gateron_LowProfile_THT,G,tht
179.550685,-98.9756,0.0,top,KC8,,,SW_Gateron_LowProfile_THT,H,tht
198.600685,-98.9756,0.0,top,KC9,,,SW_Gateron_LowProfile_THT,J,tht
41.438285,-118.0256,0.0,top,KD1,,,SW_Gateron_LowProfile_THT,CAPS SHIFT,tht
227.175785,-118.0256,0.0,top,KD10,,,SW_Gateron_LowProfile_THT,UP,tht
255.750785,-118.0256,0.0,top,KD11,,,SW_Gateron_LowProfile_THT,CAPS SHIFT,tht
72.394485,-118.0256,0.0,top,KD2,,,SW_Gateron_LowProfile_THT,EXTEND MODE,tht
93.825785,-118.0256,0.0,top,KD3,,,SW_Gateron_LowProfile_THT,Z,tht
112.875785,-118.0256,0.0,top,KD4,,,SW_Gateron_LowProfile_THT,X,tht
131.925785,-118.0256,0.0,top,KD5,,,SW_Gateron_LowProfile_THT,C,tht
150.975785,-118.0256,0.0,top,KD6,,,SW_Gateron_LowProfile_THT,V,tht
170.025785,-118.0256,0.0,top,KD7,,,SW_Gateron_LowProfile_THT,B,tht
189.075785,-118.0256,0.0,top,KD8,,,SW_Gateron_LowProfile_THT,N,tht
208.125785,-118.0256,0.0,top,KD9,,,SW_Gateron_LowProfile_THT,M,tht
31.913085,-137.0756,0.0,top,KE1,,,SW_Gateron_LowProfile_THT,SYMBOL SHIFT,tht
265.275785,-137.0756,0.0,top,KE13,,,SW_Gateron_LowProfile_THT,SYMBOL SHIFT,tht
50.963085,-137.0756,0.0,top,KE2,,,SW_Gateron_LowProfile_THT,;,tht
70.013085,-137.0756,0.0,top,KE3,,,SW_Gateron_LowProfile_THT,"""",tht
89.063085,-137.0756,0.0,top,KE4,,,SW_Gateron_LowProfile_THT,",",tht
108.113085,-137.0756,0.0,top,KE5,,,SW_Gateron_LowProfile_THT,.,tht
158.113085,-137.0756,0.0,top,KE6,,,SW_Gateron_LowProfile_THT,SPACE,tht
208.125785,-137.0756,0.0,top,KE7,,,SW_Gateron_LowProfile_THT,LEFT,tht
227.175785,-137.0756,0.0,top,KE8,,,SW_Gateron_LowProfile_THT,DOWN,tht
246.225785,-137.0756,0.0,top,KE9,,,SW_Gateron_LowProfile_THT,RIGHT,tht
